date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:41	81788/81788	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:41%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/homee486.html	(from )
11:35:41	67/67	---MCZ	200	added ('OK')	text/plain	date:Thu,%2026%20Nov%202020%2018:35:41%20GMT	https://sites.google.com/robots.txt		(from )
11:35:42	354105/354105	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/label-maker-header-cropped.jpg	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/ssl.gstatic.com/atari/images/label-maker-header-cropped.jpg	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:42	81767/81767	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:42%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/home?authuser	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/homefd93.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:42	12554/12554	---MC-	200	added ('OK')	application/javascript	date:Thu,%2026%20Nov%202020%2018:35:43%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:43	81740/81740	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:43%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/home	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/home.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:43	68964/68964	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:44%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/stage-one	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/stage-one.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:44	145391/145391	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:44%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/stage-two	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/stage-two.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:44	56350/56350	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:44%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/stage-three	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/stage-three.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:44	56378/56378	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:45%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/stage-four	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/stage-four.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
11:35:45	55141/55141	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Nov%202020%2018:35:45%20GMT	https://sites.google.com/view/teaml-cpsc-481-project/stage-five	D:/My%20Web%20Sites/CPSC%20481%20Portfolio/sites.google.com/view/teaml-cpsc-481-project/stage-five.html	(from https://sites.google.com/view/teaml-cpsc-481-project/home?authuser=0)
